"","EHELV_gene_ID","merged_gene_name"
"1","EHELV_G00011652",NA
"2","EHELV_G00024747",NA
"3","EHELV_G00031474",NA
"4","EHELV_G00035122",NA
"5","EHELV_G00027104",NA
"6","EHELV_G00009237",NA
"7","EHELV_G00000498",NA
"8","EHELV_G00024056",NA
"9","EHELV_G00030605","Acsl4"
"10","EHELV_G00008005","Ap1s1"
"11","EHELV_G00004188","ARPIN"
"12","EHELV_G00023137","ATP6AP2"
"13","EHELV_G00007628","BAZ2B"
"14","EHELV_G00006661","BCL2L15"
"15","EHELV_G00016045","BMX"
"16","EHELV_G00007946","BST1"
"17","EHELV_G00003122","Bst2"
"18","EHELV_G00034827","C5AR2"
"19","EHELV_G00022168","CARD19"
"20","EHELV_G00020979","CASP13"
"21","EHELV_G00024711","CASTOR2"
"22","EHELV_G00017702","CCL8"
"23","EHELV_G00034835","CEACAM6"
"24","EHELV_G00004982","CEBPB"
"25","EHELV_G00014029","CFB"
"26","EHELV_G00014177","CMPK2"
"27","EHELV_G00027649","Cmtm5"
"28","EHELV_G00003062","COL4A2"
"29","EHELV_G00003075","Comp"
"30","EHELV_G00030557","CREM"
"31","EHELV_G00008935","CSF1"
"32","EHELV_G00000693","CSF3R"
"33","EHELV_G00034123","CXorf21"
"34","EHELV_G00016342","DHX58"
"35","EHELV_G00010939","Dynlrb1"
"36","EHELV_G00003431","EAPP"
"37","EHELV_G00000935","ELMOD2"
"38","EHELV_G00025832","ENTPD2"
"39","EHELV_G00006839","EPOR"
"40","EHELV_G00024376","FAM114A1"
"41","EHELV_G00001682","FBXO48"
"42","EHELV_G00026795","FGD4"
"43","EHELV_G00009390","FKBP1A"
"44","EHELV_G00001513","FLT3"
"45","EHELV_G00033286","GBP1"
"46","EHELV_G00025744","IFI35"
"47","EHELV_G00020682","IFI6"
"48","EHELV_G00007792","IFIT1"
"49","EHELV_G00024120","IFIT2"
"50","EHELV_G00032465","IFIT3"
"51","EHELV_G00007793","IFIT5"
"52","EHELV_G00025593","IRF7"
"53","EHELV_G00024057","Isg15"
"54","EHELV_G00018035","ITPKC"
"55","EHELV_G00006255","JAZF1"
"56","EHELV_G00014785","KIF24"
"57","EHELV_G00017791","KLHDC8A"
"58","EHELV_G00003981","LGALS8"
"59","EHELV_G00022259","LGALS9B"
"60","EHELV_G00028160","LIMS1"
"61","EHELV_G00015440","LRRC75B"
"62","EHELV_G00021346","LZTS2"
"63","EHELV_G00024307","MAK"
"64","EHELV_G00006637","MOV10"
"65","EHELV_G00029629","MSL2"
"66","EHELV_G00005437","NCAPD2"
"67","EHELV_G00010762","NRAS"
"68","EHELV_G00009238","OAS1"
"69","EHELV_G00018084","OSBPL11"
"70","EHELV_G00014361","OTUD7B"
"71","EHELV_G00006377","PARP3"
"72","EHELV_G00020770","PEAK3"
"73","EHELV_G00013020","PIGZ"
"74","EHELV_G00024181","Pilrb2"
"75","EHELV_G00033449","Plscr1"
"76","EHELV_G00027105","PLSCR2"
"77","EHELV_G00009044","Rab1A"
"78","EHELV_G00006429","RNASEL"
"79","EHELV_G00001426","RNF24"
"80","EHELV_G00012343","RNF4"
"81","EHELV_G00032234","RP2"
"82","EHELV_G00015363","SARS"
"83","EHELV_G00008975","SERPINA1"
"84","EHELV_G00008006","SERPINE1"
"85","EHELV_G00001435","SIGLEC1"
"86","EHELV_G00023418","SLC25A28"
"87","EHELV_G00014969","SLC2A3"
"88","EHELV_G00004572","SLC31A2"
"89","EHELV_G00016189","SOD2"
"90","EHELV_G00016736","SPOCK1"
"91","EHELV_G00015817","TAGLN2"
"92","EHELV_G00024038","TLCD4"
"93","EHELV_G00013613","TLR7"
"94","EHELV_G00020931","TMEM86A"
"95","EHELV_G00021845","TNFSF10"
"96","EHELV_G00030534","TREM1"
"97","EHELV_G00015023","TXNDC2"
"98","EHELV_G00013337","TXNIP"
"99","EHELV_G00034959","UBA7"
"100","EHELV_G00011924","Ube2b"
"101","EHELV_G00019305","USP18"
"102","EHELV_G00026820","Vcl"
"103","EHELV_G00014750","XRCC4"
"104","EHELV_G00006061","ZFAND5"
"105","EHELV_G00007595","ZNF383"
