"","EHELV_gene_ID","merged_gene_name"
"1","EHELV_G00031474",NA
"2","EHELV_G00008966",NA
"3","EHELV_G00015675",NA
"4","EHELV_G00014095",NA
"5","EHELV_G00014097",NA
"6","EHELV_G00000485",NA
"7","EHELV_G00018170",NA
"8","EHELV_G00027938",NA
"9","EHELV_G00011760",NA
"10","EHELV_G00024056",NA
"11","EHELV_G00025392","ABHD10"
"12","EHELV_G00023483","ADCY7"
"13","EHELV_G00011970","AGAP2"
"14","EHELV_G00019228","AJUBA"
"15","EHELV_G00011286","ALPK3"
"16","EHELV_G00003126","ANO8"
"17","EHELV_G00001681","APLF"
"18","EHELV_G00028998","APOL"
"19","EHELV_G00024294","AR"
"20","EHELV_G00027265","AR"
"21","EHELV_G00010468","ARID1A"
"22","EHELV_G00005596","ATP1A1"
"23","EHELV_G00006759","AURKB"
"24","EHELV_G00006760","BORCS6"
"25","EHELV_G00013634","C2CD5"
"26","EHELV_G00001834","CALCOCO1"
"27","EHELV_G00030965","CAPSL"
"28","EHELV_G00006323","CCDC154"
"29","EHELV_G00004499","CCNB2"
"30","EHELV_G00006275","CCNF"
"31","EHELV_G00015676","CD33"
"32","EHELV_G00009784","CDKN3"
"33","EHELV_G00027155","CENPP"
"34","EHELV_G00028138","Chmp2b"
"35","EHELV_G00025277","CIAPIN1"
"36","EHELV_G00004195","CIB1"
"37","EHELV_G00001876","CKAP4"
"38","EHELV_G00014982","CLEC4E"
"39","EHELV_G00003075","Comp"
"40","EHELV_G00002773","COTL1"
"41","EHELV_G00016950","CPNE3"
"42","EHELV_G00007452","CSF1R"
"43","EHELV_G00016192","CYB5RL"
"44","EHELV_G00007687","DBNDD2"
"45","EHELV_G00001342","Dcaf7"
"46","EHELV_G00006663","DCLRE1B"
"47","EHELV_G00022105","DDX58"
"48","EHELV_G00010630","Dennd1a"
"49","EHELV_G00025537","DHRS9"
"50","EHELV_G00016342","DHX58"
"51","EHELV_G00028719","DHX8"
"52","EHELV_G00001707","DOCK5"
"53","EHELV_G00002727","DUSP5"
"54","EHELV_G00007108","Echdc3"
"55","EHELV_G00001938","EHBP1L1"
"56","EHELV_G00028664","ELOVL5"
"57","EHELV_G00020096","ENGASE"
"58","EHELV_G00021042","ENTR1"
"59","EHELV_G00030680","Exosc6"
"60","EHELV_G00012564","FAM160B2"
"61","EHELV_G00012657","FAM220A"
"62","EHELV_G00023254","FEM1A"
"63","EHELV_G00006765","GCHFR"
"64","EHELV_G00011444","GIGYF2"
"65","EHELV_G00009724","GLIPR1"
"66","EHELV_G00007484","Gm2a"
"67","EHELV_G00027360","Hdac10"
"68","EHELV_G00009248","HECTD4"
"69","EHELV_G00024055","HES4"
"70","EHELV_G00026224","HINT1"
"71","EHELV_G00014369","HIST2H2BE"
"72","EHELV_G00018915","Hlx"
"73","EHELV_G00007451","HMGXB3"
"74","EHELV_G00010774","Hnrnpa2b1"
"75","EHELV_G00018005","HNRNPM"
"76","EHELV_G00003163","HSH2D"
"77","EHELV_G00007280","HSPA8"
"78","EHELV_G00008967","IFI27L1"
"79","EHELV_G00020682","IFI6"
"80","EHELV_G00007792","IFIT1"
"81","EHELV_G00024120","IFIT2"
"82","EHELV_G00032465","IFIT3"
"83","EHELV_G00001160","IFT43"
"84","EHELV_G00012159","IGLV6-57"
"85","EHELV_G00021117","INKA2"
"86","EHELV_G00026796","Iqsec2"
"87","EHELV_G00025593","IRF7"
"88","EHELV_G00024057","Isg15"
"89","EHELV_G00008321","Kcnip3"
"90","EHELV_G00006155","KCTD20"
"91","EHELV_G00018695","KIF20A"
"92","EHELV_G00017791","KLHDC8A"
"93","EHELV_G00033873","Lgals7"
"94","EHELV_G00022259","LGALS9B"
"95","EHELV_G00006105","LNPK"
"96","EHELV_G00021855","MAP2K2"
"97","EHELV_G00010518","MAP4K3"
"98","EHELV_G00013768","MARCH7"
"99","EHELV_G00030675","MARF1"
"100","EHELV_G00007231","MDK"
"101","EHELV_G00022715","Mecp2"
"102","EHELV_G00004280","MED24"
"103","EHELV_G00010021","MEI1"
"104","EHELV_G00028115","MEX3D"
"105","EHELV_G00016075","MRFAP1L1"
"106","EHELV_G00026974","MX1"
"107","EHELV_G00020748","MXD1"
"108","EHELV_G00026315","N4BP2L1"
"109","EHELV_G00006440","NCF2"
"110","EHELV_G00025530","NFIL3"
"111","EHELV_G00015719","NLRX1"
"112","EHELV_G00028023","NOSIP"
"113","EHELV_G00005140","NUP214"
"114","EHELV_G00021142","OASL"
"115","EHELV_G00007921","PARP8"
"116","EHELV_G00032652","Patr-A"
"117","EHELV_G00030418","PDZD11"
"118","EHELV_G00023608","PFKFB3"
"119","EHELV_G00018735","PKN3"
"120","EHELV_G00029130","Plekhf2"
"121","EHELV_G00033449","Plscr1"
"122","EHELV_G00003124","PLVAP"
"123","EHELV_G00014570","POM121B"
"124","EHELV_G00002417","PPIL6"
"125","EHELV_G00010134","PSAP"
"126","EHELV_G00027746","R3HDM1"
"127","EHELV_G00000203","RAB19"
"128","EHELV_G00003061","RAB20"
